Gender,Nationality,Region,Year,Population
Male,Saudi,Aseer,2020,686327
Male,Saudi,Aseer,2021,701135
Male,Saudi,Aseer,2022,716488
Male,Saudi,Eastern Region,2010,1120586
Male,Saudi,Eastern Region,2011,1143956
Male,Saudi,Eastern Region,2012,1171807
Male,Saudi,Eastern Region,2013,1204401
Male,Saudi,Eastern Region,2014,1242148
Male,Saudi,Eastern Region,2015,1277468
Male,Saudi,Eastern Region,2016,1308467
Male,Saudi,Eastern Region,2017,1335326
Male,Saudi,Eastern Region,2018,1366995
Male,Saudi,Eastern Region,2019,1401278
Male,Saudi,Eastern Region,2020,1439974
Male,Saudi,Eastern Region,2021,1471933
Male,Saudi,Eastern Region,2022,1505058
Male,Saudi,Hail,2010,199934
Male,Saudi,Hail,2011,203902
Male,Saudi,Hail,2012,208594
Male,Saudi,Hail,2013,214109
Male,Saudi,Hail,2014,220505
Male,Saudi,Hail,2015,226447
